SLR_Author,AbstractID,Abstract_Year,Abstract
Luyi Feng,1,2017,"Despite the importance of conducting systematic literature reviews (SLRs) for identifying the research gaps in software engineering (SE) research, SLRs are a complex, multi-stage, and time-consuming process if performed manually. Conducting an SLR in line with the guidelines and practice in the SE domain requires considerable effort and expertise. The objective of this SLR is to identify and classify text-mining techniques and tools that can help facilitate SLR activities. This study also investigates the adoption of text-mining (TM) techniques to support SLR in the SE domain. We performed a mixed search strategy to identify relevant studies published from January 1, 2004, to December 31, 2016. We shortlisted 32 papers into the final set of relevant studies published in the SE, medicine and social science disciplines. The majority of the text-mining techniques attempted to support the study selection stage. Only 12 out of the 14 studies in the SE domain applied text-mining techniques, focusing primarily on facilitating the search and study selection stages. By learning from the experience of applying TM techniques in clinical medicine and social science fields, we believe that SE researchers can adopt appropriate SLR automation strategies for use in the SE field."
Omara,2,2015,"The large and growing number of published studies, and their increasing rate of publication, makes the task of identifying relevant studies in an unbiased way for inclusion in systematic reviews both complex and time consuming. Text mining has been offered as a potential solution: through automating some of the screening process, reviewer time can be saved. The evidence base around the use of text mining for screening has not yet been pulled together systematically; this systematic review fills that research gap. Focusing mainly on non-technical issues, the review aims to increase awareness of the potential of these technologies and promote further collaborative research between the computer science and systematic review communities."
SR Jonnalagadda,3,2015,"Background: Automation of the parts of systematic review process, specifically the data extraction step, may be an important strategy to reduce the time necessary to complete a systematic review. However, the state of the science of automatically extracting data elements from full texts has not been well described. This paper performs a systematic review of published and unpublished methods to automate data extraction for systematic reviews.
Methods :We systematically searched PubMed, IEEEXplore, and ACM Digital Library to identify potentially relevant articles. We included reports that met the following criteria: 1) methods or results section described what entities were or need to be extracted, and 2) at least one entity was automatically extracted with evaluation results that were presented for that entity. We also reviewed the citations from included reports.
Results :Out of a total of 1190 unique citations that met our search criteria, we found 26 published reports describing automatic extraction of at least one of more than 52 potential data elements used in systematic reviews. For 25 (48 %) of the data elements used in systematic reviews, there were attempts from various researchers to extract information automatically from the publication text. Out of these, 14 (27 %) data elements were completely extracted, but the highest number of data elements extracted automatically by a single study was 7. Most of the data elements were extracted with F-scores (a mean of sensitivity and positive predictive value) of over 70 %.
Conclusions :We found no unified information extraction framework tailored to the systematic review process, and published reports focused on a limited (1 to 7) number of data elements. Biomedical natural language processing techniques have not been fully utilized to fully or even partially automate the data extraction step of systematic reviews."
Al-Zubidy,4,2015,"Context :The number of published systematic literature reviews (SLRs) in software engineering venues is increasing. However, even with their high adaptation rate, the task of performing an SLR requires a large amount of effort and presents a number of barriers. Specifically, during the SLR search phase authors must expend a lot of time and overcome a large number of barriers.
Objective:To help alleviate some of the barriers in the search phase, we identify and prioritize SLR search tool requirements based on input from the SLR community. These requirements will help tool builders ensure they focus their efforts appropriately.
Method :We conducted an SLR and a survey of SLR authors in software engineering. In the SLR we extracted problems and solutions SLR authors reported during their search processes. In the survey we asked respondents to describe the problems they faced during SLR search and to specify any requirements they would like to see as part of an SLR search tool. We also asked survey respondents to describe any tools they use to support SLR search, along with the strengths and limitations of those tools.
Results :Based on analysis of 84 studies from the literature and a qualitative analysis of 131 responses from researchers, we identified a set of functional requirements that authors, researchers, and tool builders can use as a reference. We also describe the tools currently used by SLR researchers.
Conclusions :The list of SLR search tool requirements can be used by tool builders as a guide when constructing new tools. Our analysis of tools showed that more recent tools are covering more of the requirements than in the past."
Al-Zubidy,5,2018,"Background: Systematic literature reviews (SLRs)
have become an established methodology in software engineering
(SE) research however they can be very time consuming and
error prone. Aim: The aims of this study are to identify and
classify tools that can help to automate part or all of the SLR
process within the SE domain. Method: A mapping study was
performed using an automated search strategy plus snowballing
to locate relevant papers. A set of known papers was used to
validate the search string. Results: 14 papers were accepted into
the final set. Eight presented text mining tools and six discussed
the use of visualisation techniques. The stage most commonly
targeted was study selection. Only two papers reported an
independent evaluation of the tool presented. The majority were
evaluated through small experiments and examples of their use.
Conclusions: A variety of tools are available to support the SLR
process although many are in the early stages of development and
usage. "
Felizardo,6,2015,"A systematic literature review (SLR) is a methodology used to find and aggregate all relevant existing evidence about a specific research question of interest. Important decisions need to be made at several points in the review process, relating to search of the literature, selection of relevant primary studies and use of methods of synthesis. Visualization can support tasks that involve large collections of data, such as the studies collected, evaluated and summarized in an SLR. The objective of this paper is to present the results of a systematic mapping study (SM) conducted to collect and evaluate evidence on the use of a specific visualization technique, visual data mining (VDM), to support the SLR process. We reviewed 20 papers and our results indicate a scarcity of research on the use of VDM to help with conducting SLRs in the software engineering domain. However, most of the studies (16 of the 20 studies included in our mapping) have been conducted in the field of medicine and they revealed that the activities of data extraction and data synthesis, related to conducting the review phase of an SLR process, have more VDM support than other activities. In contrast, according to our SM, previous studies using VDM techniques with SLRs have not employed such techniques during the SLR s planning and reporting phases"
Tsafnat,7,2014,"Systematic reviews, a cornerstone of evidence-based medicine, are not produced quickly enough to support clinical practice. The cost of production, availability of the requisite expertise and timeliness are often quoted as major contributors for the delay. This detailed survey of the state of the art of information systems designed to support or automate individual tasks in the systematic review, and in particular systematic reviews of randomized controlled clinical trials, reveals trends that see the convergence of several parallel research projects.

We surveyed literature describing informatics systems that support or automate the processes of systematic review or each of the tasks of the systematic review. Several projects focus on automating, simplifying and/or streamlining specific tasks of the systematic review. Some tasks are already fully automated while others are still largely manual. In this review, we describe each task and the effect that its automation would have on the entire systematic review process, summarize the existing information system support for each task, and highlight where further research is needed for realizing automation for the task. Integration of the systems that automate systematic review tasks may lead to a revised systematic review workflow. We envisage the optimized workflow will lead to system in which each systematic review is described as a computer program that automatically retrieves relevant trials, appraises them, extracts and synthesizes data, evaluates the risk of bias, performs meta-analysis calculations, and produces a report in real time."
Marshal,8,2018,"Context: Previously, the authors had developed and evaluated a framework to evaluate systematic review (SR) lifecycle tools. Goal: The goal of this study was to use the experiences of researchers in other domains to further evaluate and refine the evaluation framework. Method: We investigate the opinions of researchers with experience of systematic reviews in the healthcare and social sciences domains. We used semi-structured interviews to elicit their experiences of systematic reviews and SR support tools. Results: Study participants found broadly the same problems as software engineering (SE) researchers with the SR process. They agreed with the tool features we had included in our evaluation framework. Furthermore although there were some differences the majority of the importance assessments were very close. Conclusions: In the context of SRs, experiences of researchers in other domains can be useful to software engineering researchers. The evaluation framework for SR lifecycle tools appeared quite robust."
"Olorisade

",9,2016,"Background: Since the introduction of the systematic review process to Software Engineering in 2004, researchers have investigated a number of ways to mitigate the amount of effort and time taken to filter through large volumes of literature.

Aim: This study aims to provide a critical analysis of text mining techniques used to support the citation screening stage of the systematic review process.

Method: We critically re-reviewed papers included in a previous systematic review which addressed the use of text mining methods to support the screening of papers for inclusion in a review. The previous review did not provide a detailed analysis of the text mining methods used. We focus on the availability in the papers of information about the text mining methods employed, including the description and explanation of the methods, parameter settings, assessment of the appropriateness of their application given the size and dimensionality of the data used, performance on training, testing and validation data sets, and further information that may support the reproducibility of the included studies.

Results: Support Vector Machines (SVM), Naïve Bayes (NB) and Committee of classifiers (Ensemble) are the most used classification algorithms. In all of the studies, features were represented with Bag-of-Words (BOW) using both binary features (28%) and term frequency (66%). Five studies experimented with n-grams with n between 2 and 4, but mostly the unigram was used. ?2, information gain and tf-idf were the most commonly used feature selection techniques. Feature extraction was rarely used although LDA and topic modelling were used. Recall, precision, F and AUC were the most used metrics and cross validation was also well used. More than half of the studies used a corpus size of below 1,000 documents for their experiments while corpus size for around 80% of the studies was 3,000 or fewer documents. The major common ground we found for comparing performance assessment based on independent replication of studies was the use of the same dataset but a sound performance comparison could not be established because the studies had little else in common. In most of the studies, insufficient information was reported to enable independent replication. The studies analysed generally did not include any discussion of the statistical appropriateness of the text mining method that they applied. In the case of applications of SVM, none of the studies report the number of support vectors that they found to indicate the complexity of the prediction engine that they use, making it impossible to judge the extent to which over-fitting might account for the good performance results.

Conclusions: There is yet to be concrete evidence about the effectiveness of text mining algorithms regarding their use in the automation of citation screening in systematic reviews. The studies indicate that options are still being explored, but there is a need for better reporting as well as more explicit process details and access to datasets to facilitate study replication for evidence strengthening. In general, the reader often gets the impression that text mining algorithms were applied as magic tools in the reviewed papers, relying on default settings or default optimization of available machine learning toolboxes without an in-depth understanding of the statistical validity and appropriateness of such tools for text mining purposes."
Thomas,10,2014,"Systematic reviews are a widely accepted research method. However, it is increasingly difficult to conduct them to fit with policy and practice timescales, particularly in areas which do not have well indexed, comprehensive bibliographic databases. Text mining technologies offer one possible way forward in reducing the amount of time systematic reviews take to conduct. They can facilitate the identification of relevant literature, its rapid description or categorization, and its summarization.

In this paper, we describe the application of four text mining technologies, namely, automatic term recognition, document clustering, classification and summarization, which support the identification of relevant studies in systematic reviews. The contributions of text mining technologies to improve reviewing efficiency are considered and their strengths and weaknesses explored.

We conclude that these technologies do have the potential to assist at various stages of the review process. However, they are relatively unknown in the systematic reviewing community, and substantial evaluation and methods development are required before their possible impact can be fully assessed. Copyright © 2011 John Wiley & Sons, Ltd."
Kitchenham and P. Brereton,11,2013,"Context
Many researchers adopting systematic reviews (SRs) have also published papers discussing problems with the SR methodology and suggestions for improving it. Since guidelines for SRs in software engineering (SE) were last updated in 2007, we believe it is time to investigate whether the guidelines need to be amended in the light of recent research.

Objective
To identify, evaluate and synthesize research published by software engineering researchers concerning their experiences of performing SRs and their proposals for improving the SR process.

Method
We undertook a systematic review of papers reporting experiences of undertaking SRs and/or discussing techniques that could be used to improve the SR process. Studies were classified with respect to the stage in the SR process they addressed, whether they related to education or problems faced by novices and whether they proposed the use of textual analysis tools.

Results
We identified 68 papers reporting 63 unique studies published in SE conferences and journals between 2005 and mid-2012. The most common criticisms of SRs were that they take a long time, that SE digital libraries are not appropriate for broad literature searches and that assessing the quality of empirical studies of different types is difficult.

Conclusion
We recommend removing advice to use structured questions to construct search strings and including advice to use a quasi-gold standard based on a limited manual search to assist the construction of search stings and evaluation of the search process. Textual analysis tools are likely to be useful for inclusion/exclusion decisions and search string construction but require more stringent evaluation. SE researchers would benefit from tools to manage the SR process but existing tools need independent validation. Quality assessment of studies using a variety of empirical methods remains a major problem."
a,100,2019,"Humans have always attempted to correspond with objects in a natural language. Communications have been the essential feature of human life, a powerful tool for sharing and building the information that is passed from generation to generation. Among speech processing problems, automatic speech recognition mechanisms of converting the recorded speech signals into the text are one of the most challenging tasks. The signals are typically processed in a digital representation, so speech processing can be observed as a particular case of digital signal processing. The overall performance of an automatic speech recognition system greatly depends upon the acoustic modeling. Hence, building a precise and robust acoustic model holds the key to a suitable recognition performance. People have used different methods for automated speech recognition system. For recognizing the speech people always choose the English language in the majority of the research and implementation but very less work is done in other languages. Our analysis presents the study of the different speech recognition systems present in Indian and foreign languages in the systematic review of speech recognition paper. This paper gives the review of different aspects related to Automatic Speech recognition. We have elaborated the recent advancement in the speech recognition system, robust method for the development of an automatic speech recognition system and application of automatic speech recognition system in different fields."
b,101,2018,"The incorporation of Information and Communication Technology has changed the landscape of K-12 education, contributing to immense improvement and increased expectations within the sector. Following the introduction of virtual learning environments for use by higher education institutions and the resulting refinement in their design and application, virtual schools are now being applied to K-12 education and have become one of the most transformational trends in such education. This paper reviews the literature to provide insight into the critical distinctions between the terms and definitions used for various aspects of virtual school. In conducting this review, a distinct lack of framework on the critical factors necessary for success as regards the implementation of virtual schools was found in the current literature. To overcome this lack, this paper presents a conceptual framework derived from an in-depth review of related literature. The result of the systematic review revealed 15 factors which have been categorized under five dimensions; namely, technology (system quality, system interactivity, ease of use and usefulness), student's characteristics (self-efficacy and attitude), instructor's characteristics (control of technology, attitude and teaching style), course and content (content quality, diversity of assessment methods and course flexibility) and institutional support (technical support, user training and top management support). This conceptual framework offers the main frame of reference and potential lines of investigation that could be used by educational institutions that seek to implement and develop projects which incorporate eLearning as a main component."
c,102,2020,"General Systems Theory (GST), as it was introduced by Karl Ludwig von Bertalannfy, had a significant, yet mostly unacknowledged influence on systems theory. The purpose of the current review is to highlight and assess the application of the aforementioned theory in the healthcare field and suggest a new approach to the public hearing healthcare sector. A systematic literature review has been conducted in the electronic databases of ScienceDirect, Pubmed and IEEEXplore covering the years of 2009-2019, following the PRISMA guidelines. The article selection was performed to identify GST-related frameworks in the healthcare field and was completed through a process of removing duplicates and non-available articles, analyzing the tittle and abstract, and then reviewing the full text of each selected article. In the final analysis, 47 studies were selected and were thoroughly analysed. Almost half of these articles showed a practical implementation of GST-inspired frameworks, following different types of research methodology. Analysis of these methodologies identified the limitations and positive effects of GST in the healthcare field. Although there is a significant number of references in GST in the healthcare field over the last 10 years, applications of it need to be further tested and explored before they are put into real-situation testing. Simulation models and evidence-based approaches on a micro-, meso- and macro-level of systems should be used to provide the contextual information needed for establishing GST as a driving force in the healthcare field. To this context, a paradigm of GST data framework applied to the hearing loss screening area is hereby presented and discussed. It is shown that a GST approach can be used to identify equilibria in all levels, to balance gain and prediction capacity over time and enhance public hearing health approaches for treatment and management strategies."
d,103,2017,"Different social and psychological variables has been identified in previous studies leading to understand the tourist's behavior and intentions to visit a destination. However, tourism literature does not have a combined list of these constructs for predicting such intentions. Understanding these constructs can provide guidelines for tourism's stakeholders to attract tourists to a specific destination. This review identifies the variables that provoke the intentions of tourists to visit a destination. A systematic literature review methodology has been adopted, focusing on conference papers published during the last six year on tourism research. The study uncovered six essential constructs, namely: Satisfaction, Destination Attractions, Perceived Behavioral Control (PBC), Perceived Risk, Perceived Value, and Experience. A metamodel has been designed revealing the relationship among the aforementioned constructs. Moreover, the findings show that tourist's satisfaction, experience and destination attractions creates positive intentions to visit a destination or recommend it to others."
a,104,2017,"A systematic review about a particular subject provides the basis of knowledge for supporting a research. The increase of scientific information available and the easy access to such information in electronic databases have contributed to the rise of systematic review studies. However, one of the problems that arise with traditional research methods is the difficulty of reading all available articles. Thus, some items must be selected according to predefined selection rules. Nevertheless, the effectiveness of a systematic review is directly related to the relevance of the scientific papers selected according to the purpose of the particular study, among others factors. Therefore, there are several indicators that can be used to prioritize the articles that will set the articles portfolio of the review. The objective of this article is to introduce a method and a web system, implemented in R package, designed to apply automated filters to help in the selection of articles for systematic reviews. We propose two filters in the discussed method: the journal impact factor and the number of citations of the articles. The latter was analyzed by using Pareto rule. In the portfolio creation process, articles are first selected from a query performed in the electronic databases Scopus and Web of Science. Then, the proposed method can be automatically applied using the web system introduced here."
b,105,2018,"Educational Robotics has been presented as a great pedagogical tool because it demonstrates an attractive way of working the theoretical knowledge put into practice. Thus, several educational technologies have emerged with different approaches, with the purpose of applying robotics in the educational area in a more attractive and playful way. This article presents the conduction of a Systematic Review of Literature (SRL), whose objective is to identify the teaching approaches used with educational robotics. With this, we present experiences reports, and at the same time show the skills and competencies that are explored through robotics and education. This review uses scientific papers published in the period from 2011 to 2016."
c,106,2019,"Autonomous Vehicles (AV) are expected to bring considerable benefits to society, such as traffic optimization and accidents reduction. They rely heavily on advances in many Artificial Intelligence (AI) approaches and techniques. However, while some researchers in this field believe AI is the core element to enhance safety, others believe AI imposes new challenges to assure the safety of these new AI-based systems and applications. In this non-convergent context, this paper presents a systematic literature review to paint a clear picture of the state of the art of the literature in AI on AV safety. Based on an initial sample of 4870 retrieved papers, 59 studies were selected as the result of the selection criteria detailed in the paper. The shortlisted studies were then mapped into six categories to answer the proposed research questions. An AV system model was proposed and applied to orient the discussions about the SLR findings. As a main result, we have reinforced our preliminary observation about the necessity of considering a serious safety agenda for the future studies on AI-based AV systems."
a,107,2018,"Every project implementation must involve its management process. Project management is a system that enables organizations to manage their projects. The development of information technology encourages the development of techniques and methodologies used in project management. This study aims to provide a detailed insight into the trends of project management with systematic literature review and has a particular focus on the project management platform. Therefore, it is necessary to understand the features, technology and architecture of the project management platform. Meta-analysis is needed to determine the optimal layer of project management platform architecture with principal component analysis techniques. Trends in the project management platform literature were analyzed from 2000 to 2018. The findings from the analysis highlighted some of the generic features that project management platforms should have such as schedule/monitoring management, process management, configuration/user management, document management, financial/cost management and resources management. By doing principal component analysis, the number of optimal layers in the project management platform is obtained four: application layer, service layer, data integration layer and management layer."
b,108,2017,"According to Administration of Aging (AoA), by the year 2060, the older people will represent among the 98 million of people of the total population. That is, much of this priority group will be involved with technology. Hence, the Massive Open Online Courses (MOOCs) are a good alternative for lifelong learning. Therefore, it should be taken into account the needs of older people according to their learning styles by using andragogical techniques, strategies and accessibility criteria. However, nowadays many courses are offered in different platforms, but they are not oriented to older people with special characteristics according to the age. Moreover, the methodologies reviewed do not take into account accessibility criteria and andragogical techniques and strategies for building MOOCs."
c,109,2019,"Diabetes Mellitus is a syndrome that occurs due to insulin deficiency but there is no absolute cure for diabetes. There are larger effects of long term diabetes on human body such as eyes as cataracts, kidney failures, nerve damaging, ulcers in feet and gangrene. Hence there is need to understand that, this disease can be prevented through normal physiological process for avoiding greater damage. Thermography is identified as a potential tool to predict and detect the disease progression in an earlier stage in automated way. Actually this type of imaging maps the superficial temperature from the human body and able to identify the disease complications accurately. This paper discusses the recent literature studies with different intervention and comparison of appropriate methods used in detection of diabetes mellitus accurately. The intervention features of different works have been carried out with suitable analysis in identifying the issues and problems associated in medical diagnosis of Diabetic foot neuropathy. This work summarizes the use of thermography in diagnosis process and defines the scope for further improvement in the related research work."
d,110,2018,"Nowadays, with the demand of web applications there is also an increase in the number of problems and crimes that demand an investigation that requires digital forensics techniques in order to manage web evidence. Although there are several studies that address cyber forensics, they are mainly oriented to manage evidence at server side, as far as we know, no systematic literature reviews have been reported on how cyber forensics is addressed at clients' side; considering the internationals standards. Thus, this paper presents a literature review about how cyber forensics is addressed at clients' side related to techniques of identification, collection, analysis, preservation and report of digital evidence. Also, a review of how standards are being used in cyber forensics focused on the client side. The aim of this study is to provide a background of relevant activities that are considered by investigators to handle potentially digital evidence from web environments, considering what internationals standards are solving for this purpose. Thus, a total of 37 studies have been selected and analyzed in this study. Moreover, this study provides important insights about the need to create methodologies aligned with formal standards that support the management of the evidence in an appropriate way."
a,111,2019,"Multi-Agent Systems became a powerful solution to model and solve problems in complex and dynamic environments. While research in this area grew exponentially before 2009, there is a need to understand the status quo of the field from 2009 to June 2017 in order to comprehend the general evolution. The results of a SLR related to Multi-Agent Systems, its applications and research gaps, following Kitchenham and Wholin guidelines are presented in this paper. From the analysis of279 papers (out of3522 candidates), our findings suggest that: a) there is a general decreasing trend of publications (but it is increasing for specific domains), b) only 15% of the papers portrayed a real case study, c) the top 20 were formed by 67 authors, d) the papers were mostly published in journals and conferences, e) there is no unified methodology or framework, f) the top 3 application domains were transport/traffic, healthcare/biology, and logistics/manufacturing, g) MAS interact with different disciplines like machine learning. Finally, the MAS community should work together to close the gaps and unify the field, bridging with other disciplines and industry."
b,112,2020,"Android malware has been in an increasing trend in recent years due to the pervasiveness of Android operating system. Android malware is installed and run on the smartphones without explicitly prompting the users or without the user's permission, and it poses great threats to users such as the leakage of personal information and advanced fraud. To address these threats, various techniques are proposed by researchers and practitioners. Static analysis is one of these techniques, which is widely applied to Android malware detection and can detect malware quickly and prohibit malware before installation. To provide a clarified overview of the latest work in Android malware detection using static analysis, we perform a systematic literature review by identifying 98 studies from January 2014 to March 2020. Based on the features of applications, we first divide static analysis in Android malware detection into four categories, which include Android characteristic-based method, opcode-based method, program graph-based method, and symbolic execution-based method. Then we assess the malware detection capability of static analysis, and we compare the performance of different models in Android malware detection by analyzing the results of empirical evidence. Finally, it is concluded that static analysis is effective to detect Android malware. Moreover, there is a preliminary result that neural network model outperforms the non-neural network model in Android malware detection. However, static analysis still faces many challenges. Thus, it is necessary to derive some novel techniques for improving Android malware detection based on the current research community. Moreover, it is essential to establish a unified platform that is used to evaluate the performance of a series of techniques in Android malware detection fairly."
c,113,2019,"INTRODUCTION: The Physics of Notations (PoN) is a theory for the design of cognitively effective visual notations, emphasizing the need for design grounded in objective and verifiable rationale. Although increasingly applied, no systematic analysis of PoN applications has yet been performed to assess the theory's efficacy in practice. OBJECTIVES: Our primary objective was to assess the scope and verifiability of PoN applications. METHOD: We performed a systematic literature review (SLR) of peer-reviewed PoN applications. We analyzed what visual notations have been evaluated and designed using the PoN, for what reasons, to what degree applications consider requirements of their notation's users, and how verifiable these applications are. RESULTS: Seventy PoN applications were analyzed. We found major differences between applications evaluating existing notations and applications designing new notations. Particularly, in the case of new notations, we found that most applications adopted the PoN with little critical thought towards it, rarely considered its suitability for a particular context, and typically treated and discussed the PoN with few, if any, verifiable details and data. CONCLUSION: The results warrant consideration for those applying the PoN to do so carefully, and show the need for additional means to guide designers in systematically applying the PoN."
d,114,2019,"The growth in use of Blockchain technology has enabled the development of applications in various industries. In particular, there has been an interest about using it in government to manage electronic public services, such as configuring and improving electronic government (e-government). However, the in-depth study of practical Blockchain solutions in the government sector is still under-researched despite the growing academic interest in this area. Therefore, this article presents a systematic literature review based on the current technology relating to Blockchain architectures applied by governments to public services."
a,115,2018,"Education is one of important program that has always been the goal of the country's strategy to advance the society. Technology is one of various aspect that support the education sector to improve its quality, such as business intelligence. Business intelligence is a technology that is developing today and can help in the decision-making process form large number of data or known as big data analytics. This study identifies the application of business intelligence to the education sector, especially in terms of the technology, contribution, and application using PRISMA. Technology of business intelligence application (Q1) is categorized into two, that are techniques and tools. For the first category, there are four kind of techniques. The techniques are data mining, viable system model (VSM), learning analytics, cloud computing, and behavioural analytics. For the other category, there are several tools that used to apply the business intelligence. The tools are Hadoop, Gephi, BigData by IBM, and web-based. Contributions of business intelligence application (Q2) are knowledge transfer, innovation, and evaluation. Domain application of business intelligence (Q3) are the result of the general form of applying business intelligence to various fields such as research, curriculum, assessment, behaviour analysis, student enrolment, and resource management."
b,116,2017,"Business process is set of activities that define how to achieve organizational goals and also produces outputs that deliver value to customers. Business process improvement is very important to make the organization better, more competitive and successful. In recent year, business process improvement has noticed by researchers. In this study, we will provide a systematic literature review from 2011 until 2017. We used Kitchenham and Charter method to conduct a systematic literature review. Data source such as IEEE, ScienceDirect, ProQuest and SpringerLink used to obtain literature. We obtained 39 papers from 67 papers to complete this research. This systematic literature review conducted to see the research trend on the topics of business process improvement from the last few years, approaches and methods used in business process improvement."
